Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Running duration (ms),Strength training duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,19.20052095750968,,,,86.25,94.0,80.0,,,,188,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,19.200520957509674,,,,83.0,101.0,67.0,,,,9,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,19.200520957509674,,,,93.5,98.0,89.0,,,,9,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,19.200520957509674,,,,89.0,96.0,81.0,,,,9,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,19.200520957509674,,,,73.25,76.0,70.0,,,,9,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,19.200520957509674,,,,68.25,70.0,67.0,,,,9,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,19.200520957509674,,,,74.0,74.0,74.0,,,,9,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,19.200520957509674,,,,77.0,77.0,77.0,,,,9,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,19.200520957509674,,,,79.75,81.0,79.0,,,,9,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,19.200520957509674,,,,72.25,77.0,70.0,,,,9,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,19.200520957509674,,,,76.25,83.0,73.0,,,,9,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,19.200520957509674,,,,75.25,77.0,74.0,,,,9,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,19.200520957509674,,,,73.0,78.0,70.0,,,,9,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,19.200520957509674,,,,71.75,79.0,69.0,,,,9,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,19.200520957509674,,,,72.75,75.0,70.0,,,,9,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,19.200520957509674,,,,75.5,84.0,65.0,,,,9,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,19.200520957509674,,,,60.5,61.0,60.0,,,,9,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,19.200520957509674,,,,62.0,63.0,60.0,,,,9,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,19.200520957509674,,,,60.5,61.0,59.0,,,,9,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,19.200520957509674,,,,60.75,69.0,57.0,,,,9,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,19.200520957509674,,,,57.25,59.0,56.0,,,,9,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,19.200520957509674,,,,57.25,58.0,57.0,,,,9,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,19.200520957509674,,,,56.0,56.0,56.0,,,,9,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,19.200520957509674,,,,56.0,60.0,54.0,,,,9,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,19.200520957509674,,,,67.75,99.0,56.0,,,,9,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,19.200520957509674,,,,59.0,61.0,55.0,,,,9,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,19.200520957509674,,,,62.5,63.0,62.0,,,,9,,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,19.200520957509674,,,,56.5,59.0,54.0,,,,9,,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,19.200520957509674,,,,70.5,80.0,55.0,,,,9,,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,19.200520957509674,,,,70.0,81.0,57.0,,,,9,,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,19.200520957509674,,,,67.75,78.0,57.0,,,,9,,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,19.200520957509674,,,,62.0,69.0,58.0,,,,9,,,,,
08:00:00.000+05:30,08:15:00.000+05:30,,19.200520957509678,,,,56.25,64.0,53.0,,,,50,,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,19.200520957509678,,,,61.0,72.0,56.0,,,,87,,,,,
08:30:00.000+05:30,08:45:00.000+05:30,,19.200520957509678,,,,57.0,58.0,56.0,,,,87,,,,,
08:45:00.000+05:30,09:00:00.000+05:30,,19.200520957509678,,,,55.25,59.0,53.0,,,,87,,,,,
09:00:00.000+05:30,09:15:00.000+05:30,,19.200520957509678,,,,62.25,88.0,53.0,,,,87,,,,,
09:15:00.000+05:30,09:30:00.000+05:30,,19.200520957509678,,,,83.5,86.0,81.0,,,,87,,,,,
09:30:00.000+05:30,09:45:00.000+05:30,,19.200520957509678,,,,,,,,,,87,,,,,
09:45:00.000+05:30,10:00:00.000+05:30,,19.200520957509678,,,,85.5,96.0,75.0,,,,87,,,,,
10:00:00.000+05:30,10:15:00.000+05:30,,19.200520957509678,134.99725362154868,,,81.5,90.0,78.0,0.29730886751988417,0.29730886751988417,0.29730886751988417,253,,,,,
10:15:00.000+05:30,10:30:00.000+05:30,12,87.35991748387865,52.623669551019496,12.0,12,91.25,105.0,84.0,,,,416,,,,,723000
10:30:00.000+05:30,10:45:00.000+05:30,15,104.04624277456648,0.0,15.0,15,113.0,120.0,103.0,,,,416,,,,,900000
10:45:00.000+05:30,11:00:00.000+05:30,15,104.04624277456648,0.0,15.0,15,116.75,122.0,105.0,0.0,0.0,0.0,416,,,,,900000
11:00:00.000+05:30,11:15:00.000+05:30,13,96.36255996976361,79.29438051591224,12.0,12,112.0,129.0,103.0,0.2939266866955855,0.2939266866955855,0.2939266866955855,470,,,,42000,764000
11:15:00.000+05:30,11:30:00.000+05:30,12,101.76665743603014,897.1231551332841,11.0,11,96.75,117.0,78.0,1.2301255230125523,1.2301255230125523,1.2301255230125523,1271,,,,675000,
11:30:00.000+05:30,11:45:00.000+05:30,,19.200520957509678,267.15370839924515,,,116.75,166.0,97.0,0.29683745377693904,0.29683745377693904,0.29683745377693904,416,,,,,
11:45:00.000+05:30,12:00:00.000+05:30,,19.200520957509674,102.98330202610234,,,107.5,109.0,106.0,,,,173,,,,,
12:00:00.000+05:30,12:15:00.000+05:30,,19.200520957509678,,,,83.75,103.0,74.0,,,,21,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,19.200520957509678,,,,90.0,99.0,81.0,,,,21,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,19.200520957509678,,,,,,,,,,21,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,19.200520957509678,,,,96.75,102.0,81.0,,,,21,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,,19.200520957509678,,,,94.5,98.0,85.0,,,,21,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,19.200520957509674,,,,95.75,97.0,94.0,,,,20,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,19.200520957509674,,,,94.5,99.0,91.0,,,,11,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,19.200520957509674,,,,94.75,97.0,92.0,,,,11,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,19.200520957509674,,,,92.5,94.0,92.0,,,,11,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,19.200520957509674,,,,85.25,90.0,75.0,,,,11,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,19.200520957509674,,,,90.0,97.0,81.0,,,,11,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,19.200520957509674,,,,92.75,98.0,91.0,,,,11,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,19.200520957509674,,,,83.0,83.0,83.0,,,,11,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,19.200520957509674,,,,91.0,92.0,88.0,,,,11,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,19.200520957509674,,,,89.25,90.0,87.0,,,,11,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,19.200520957509674,,,,96.5,106.0,86.0,,,,11,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,19.200520957509674,,,,89.5,95.0,83.0,,,,12,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,19.200520957509678,,,,91.25,93.0,88.0,,,,8,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,19.200520957509678,,,,91.25,93.0,86.0,,,,8,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,19.200520957509678,,,,93.0,97.0,91.0,,,,8,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,19.200520957509678,,,,87.5,97.0,79.0,,,,8,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,19.200520957509678,,,,91.0,93.0,86.0,,,,8,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,19.200520957509678,,,,92.25,96.0,89.0,,,,8,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,19.200520957509678,,,,87.75,92.0,81.0,,,,8,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,19.200520957509678,,,,80.0,85.0,78.0,,,,8,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,19.200520957509678,,,,95.0,95.0,95.0,,,,8,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,19.200520957509678,,,,87.0,91.0,84.0,,,,8,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,19.200520957509678,,,,84.5,95.0,75.0,,,,8,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,19.200520957509678,,,,86.5,89.0,85.0,,,,8,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,19.200520957509678,,,,88.25,91.0,87.0,,,,8,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,,19.200520957509678,,,,93.5,104.0,84.0,,,,15,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,,19.200520957509674,,,,83.75,95.0,76.0,,,,25,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,19.200520957509678,,,,98.0,102.0,92.0,,,,24,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,19.200520957509678,,,,102.75,111.0,100.0,,,,24,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,19.200520957509678,,,,88.0,89.0,85.0,,,,24,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,19.200520957509678,,,,87.25,90.0,79.0,,,,24,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,19.200520957509678,,,,83.25,91.0,80.0,,,,24,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,,19.200520957509678,,,,84.25,89.0,78.0,,,,24,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,19.200520957509678,,,,77.75,79.0,76.0,,,,24,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,19.200520957509678,,,,80.5,84.0,79.0,,,,24,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,19.200520957509674,,,,86.75,101.0,71.0,,,,23,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,19.200520957509674,,,,74.0,86.0,70.0,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,19.200520957509674,,,,83.25,87.0,78.0,,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,19.200520957509674,,,,84.5,96.0,78.0,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,19.200520957509674,,,,82.75,84.0,82.0,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,19.200520957509674,,,,78.0,81.0,75.0,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,19.200520957509674,,,,76.5,78.0,75.0,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,19.200520957509674,,,,76.0,76.0,76.0,,,,,,,,,
